0,2834146886.mp4,TN,what does the white dog do after going to the cushion?,2,['drink again', 'shake its body', 'smells the black dog', 'wagging tail', 'touch lady in blue stripes'],3
1,3441428429.mp4,TN,what does the female skater do after the male skater puts her back down on the ice?,1,['put hand in mouth', 'continue skating', 'jump', 'move her arms up and down', 'laugh and run forward'],1
2,6356067859.mp4,TN,what does the girl in white do after bending down in the middle?,1,['grab her', 'feed horse with grass', 'run towards the camera', 'umbrella', 'put her arms up'],1
3,5735711594.mp4,TC,how did the white dog respond to the brown dog when it attacks from its tail?,1,['follow it', 'hopped away', 'wagging', 'ready to run away', 'move his head'],3
4,5296635780.mp4,TN,what does the man do after the lady appear to punch him and smiles?,3,['look at him', 'touch their chests', 'kick him', 'lean forward', 'sit back properly'],4
6,6136926089.mp4,TN,what does the baby do after letting go of the cart?,1,['open her eyes', 'move toward the slides', 'touch the toy', 'turn to his back', 'lean forward and put head down'],1
7,6018490041.mp4,TN,what does the man in white do after moving forward at the start?,2,['sing', 'walk forward and observe', 'hit cans', 'clicks the picture', 'start dancing'],1
12,4094488636.mp4,TN,what does the brown dog do after stepping over the red strap near the start?,1,['mount the black dog', 'look around', 'looks at the camera', 'walks away', 'walk away'],4
14,3477387686.mp4,TN,what did the girl do after lifting the dog s ear in the middle of the video?,3,['starts to draw', 'look at the baby', 'push cheeks up', 'smile at the camera', 'wet the cloth'],3
15,8740703217.mp4,TN,what does the baby do after she stops waving her arm up and down?,3,['kiss baby cheeks', 'walk through her legs', 'smile', 'eat the food', 'bring book closer to baby'],3
16,6329077812.mp4,TP,what did the lady do before wipping the baby s mouth?,4,['touch the baby again', 'turn away', 'adjusts the baby in grey', 'smiling', 'take napkin'],2
17,4584426085.mp4,TN,what did the lady do after grabbing the puppy the second time?,1,['walk across', 'dress the puppy', 'no', 'place paw on her palm', 'shift her weight'],1
18,7533369046.mp4,TC,what was the baby doing to the white box?,3,['drop it', 'sitting on the box', 'hitting the box', 'pulling the box', 'carry it to the side'],3
19,3851961428.mp4,TN,how did the man on the most right reacted after the man in red showed him a hand gesture?,1,['adjust the rein', 'took off goggles', 'performed', 'grab his shoulders', 'excited'],2
20,5256928210.mp4,TC,what does the man do as the dog stood in front of him?,4,['walk towards the cameraman', 'bends down to hug dog', 'resting', 'jump over dog', 'pet its back'],4
