1,2416632400.mp4,CW,why did the two people standing on the platform move when they saw the train approached?,2,['not in use', 'release the smoke', 'move to the closest door', 'alight at station', 'talking to someone outside'],2
2,8469860079.mp4,CW,why did the four kids start moving after the lady in blue used the clapper boards?,3,['help baby up', 'listen for the sirens', 'dancing to the music', 'start of the scene', 'give them instructions'],3
3,3521537861.mp4,CW,why did the man in navy extended his hand to the boy at the end of the video?,2,['talking', 'cover lens with toilet roll', 'to get the tongs', 'aim', 'to look at camera'],3
4,2925959064.mp4,CW,why does the person adjust camera focus towards the end?,1,['zoom in on food', 'zoom in on the brown duck', 'zoom in on balloons', 'zoom in on the fish', 'zoom in on the pond'],4
7,9221389917.mp4,CW,why does the girl decide to go backwards in the middle of the video?,0,['changed her mind', 'blow the candle', 'lost balance', 'talk to the other 2 people', 'to get down'],4
8,7975528915.mp4,TC,how does the man in blue respond when he reaches the cameraman?,1,['listen to him', 'stop running', 'pointing and talking', 'walk along the lighted up wall', 'nod to him'],4
9,12299711406.mp4,DC,how many people are involved in the video?,1,['six', 'two', 'three', 'four', 'one'],4
10,4892549531.mp4,CW,why is the man and lady facing each other throughout the whole video?,1,['watch her moves', 'having a conversation', 'watching performance', 'taking pictures', 'photo taking'],2
11,3068792452.mp4,DC,how many times did the groom take turn to pour his glass?,2,['five', 'twice', 'two', 'eleven', 'six'],1
12,5999090287.mp4,CH,how do the people in the video move?,0,['shake body', 'by car', 'walking', 'dance backwards', 'do body wave'],2
13,5624778109.mp4,CW,why is the man moving his body?,2,['fencing equipment', 'show affection', 'moving the dog', 'dancing', 'singing and dancing'],1
14,3711711787.mp4,CW,why did the man in grey jump up before going off on the trapeze?,4,['stunt to throw from behind', 'get ball from man in red', 'air resistance', 'finished performing', 'get off the platform'],4
15,8031010690.mp4,CW,why did the baby s head was on the pillow in the beginning?,0,['resting on pillow', 'changing diaper', 'posing for camera', 'baby was attracted by the floral designs', 'pillow had a nice scent'],0
16,10316970886.mp4,CW,why is the lady adjusting the baby s blanket?,4,['protection action', 'she wants to stand up', 'ensure baby dont fall', 'play with him', 'make it tighter'],2
17,5929393873.mp4,CW,why does the boy look down most of the time while speaking?,2,['looking at dog', 'looking at feet', 'reading from paper', 'looking at phone', 'looking at floor'],2
18,2437115175.mp4,DL,where is the activity being carried out?,2,['side of a road', 'classroom', 'bathroom', 'preparing pizza', 'home'],2
19,3329878386.mp4,CW,why does the cat get onto the couch?,0,['to play with its owner', 'support himself', 'for support', 'domesticated', 'to catch the torchlight'],2
20,6038769080.mp4,DC,how many people were gathering?,2,['three', 'seven', 'four', 'six', 'two'],4
21,4903593284.mp4,CW,why are there people sitting on the chairs in front of the children?,4,['taking a photo', 'attending a class', 'adjusting their hair', 'waiting for their turn', 'audience'],4
