1,2679006680.mp4,TN,what did the girl do after bending down at the start of the video?,2,['show baby how to steer wheel', 'turned behind', 'pick up toy', 'play with baby', 'pull skirt up'],2
2,8245178837.mp4,CW,why did the baby hold onto the jar after the lady fed him the first time?,4,['the jar was beautiful', 'shift it nearer', 'reward cat', 'to hold the lemon properly again', 'continue to drink from it'],4
3,2822110402.mp4,TC,what sport are the people doing?,1,['frisbee', 'diving', 'dancing', 'rugby', 'beach volleyball'],1
5,5276779893.mp4,TC,what activity is being carried out?,0,['woman teaching class', 'printing papers', 'conference call', 'drawing', 'feeding animals'],3
6,7108622827.mp4,CW,why does the kitten use it s legs to kick the other kitten?,4,['annoyed', 'playing with each other', 'ticklish', 'cautious', 'it wants to be on top'],1
7,5602364659.mp4,CW,why did baby smiles after dad drops him off?,0,['enjoyed the ride', 'surprised camera came nearer to him', 'allowed to eat', 'see dog', 'found the bottle'],0
8,10985344225.mp4,CH,how do the people know that the machine is working?,1,['smoke coming out', 'hammer is moving', 'machine screen is moving', 'movement of black belt', 'movement of boxes'],3
9,10985344225.mp4,CW,why does the person closest to the bell wear something on his head?,2,['working at high place', 'protect eyes from sun', 'for safety', 'fashion purposes', 'horse riding'],2
12,6236724261.mp4,CW,why did the woman in black look at the grey jacket woman as she is speaking?,2,['observing her actions', 'gave her a gift', 'listening to her', 'her shirt was dirty', 'noticing her hair colour'],2
14,5162091958.mp4,CW,why did the kids move the brush in different direction on the paper?,0,['to paint', 'to colour on the book', 'playing with the brushes', 'change posture', 'distracted'],2
15,10495085476.mp4,CH,how did the man spun the boy at the beginning of the video?,3,['carry and bounce him up', 'bend down', 'touch baby s feet', 'hold boy s arms', 'kiss man'],0
16,3761582546.mp4,TN,what does the lady in black do after walking nearer to the front of the stage near the end?,3,['clap', 'help the boy to follow dance moves', 'stands up', 'move wire', 'kick away obstacles'],3
17,10652030225.mp4,CW,why did the man in black shake the hands of the man with the rod?,4,['making new friends', 'pose and interact in the video', 'exchanging contact', 'thank him for the gift', 'end the session'],2
18,3819750158.mp4,TN,what does the boy do after he finishes playing with the dark blue car?,2,['play with xylophone', 'jump up and down', 'walked to front', 'adjusting helmet', 'play with wheel'],2
19,6885309190.mp4,CW,why did the baby bend to his left a few times?,2,['the lady turned the walker', 'sleepy', 'full cushion', 'look at the woman in black', 'long hair girl scared him'],None
21,5608598769.mp4,DC,how many hamster are there in total?,4,['three', 'four', 'two', 'one', 'six'],2
22,4787311381.mp4,CH,how did the cats lets the person know that they want to eat food?,4,['chase the tail of the toy', 'jumping', 'scratch', 'jump up and swipe with paws', 'gather at refrigerator'],3
23,6016853978.mp4,TN,how does the old man react after the girl makes the funny face back at him?,3,['cycle away', 'put hand on his heart', 'hugs her', 'laugh', 'come forward'],3
24,4032595511.mp4,CW,why do the men dress up formally?,3,['party', 'wedding event', 'bodyguard', 'meeting', 'wedding'],3
25,5279956242.mp4,DC,how many people were there?,4,['four', 'five', 'eleven', 'seven', 'six'],1
28,5338232189.mp4,TC,what does everyone do as the lady in white on the floor was opening something?,2,['watch television', 'focus on phones', 'stare at her', 'eat dinner', 'play video games'],4
29,8576727783.mp4,CW,why did the girl touch her shirt in the middle of the video?,4,['posing for photo', 'take off shirt', 'wipe her hands', 'gesture to baby', 'adjust shirt'],4
30,3201948915.mp4,TN,what does the black dog do after walking away from the brown dog at the start?,4,['lick the other dog', 'touch the black dog', 'lick the dogs', 'looking around', 'walk back'],4
31,8340480194.mp4,CH,how does the black dog ensure that the stick it is biting will not move around?,3,['angry', 'lie down on chair', 'safety vest', 'holding it with paws', 'leg and bite'],3
32,3148410643.mp4,CW,why is the baby holding on to a blue item and putting it under running water?,1,['check if child s attire worn correctly', 'wash it', 'playing', 'to not fall off', 'play with water'],1
