202,5913180144,what does the man in blue socks do after he was put down by the man in grey suit?,"['arm wrestle', 'play with sand', 'walk along the lighted up wall', 'take a step away', 'bite him']",2,3
203,2834146886,how many dogs are there?,"['four', 'one', 'two', 'six', 'three']",1,2
204,2454242177,which direction did the baby push the blue toy after the start?,"['backward', 'let go of one hand and turn', 'pick them up from yellow part', 'forward', 'hit his legs']",3,0
205,2604394962,why did the man put the toy on the ledge of the wall?,"['stay balance to go up', 'to attract the boy', 'play with it', 'stabilise', 'for cat to play']",4,2
206,5205081904,why does the child turn around near the end of the video?,"['reaching for bottle', 'talking', 'he got the pacifier', 'to climb down the stairs', 'picks up the grey jacket']",1,4
208,4967810888,why does the woman in white bend down while walking in near the end?,"['ensure she do nt fall', 'pick up a bag', 'pose', 'touch lady in blue', 'stay clear of the plant']",0,4
210,4765564263,how did the boy in black pants moved from place to place?,"['walk', 'jump', 'cycling', 'on scooter', 'swimming']",1,0
212,2584172238,why did the woman place her hand at the boy s hip in the middle of the video?,"['take balloon away from baby', 'support boy', 'get closer to the bell', 'clean the hip', 'check whether baby peed']",2,1
213,4882821564,how did the boy react when he entered the room at the start?,"['dance', 'run', 'stretch his hand out', 'smile', 'walk close to it and look']",4,3
214,3192668394,why did the man in black sweater hold up a cup of water while talking to friends?,"['take a picture', 'hand the drink to someone', 'tell the lady something', 'wants to try pouring the water', 'drink']",4,4
215,14012319794,why did the girl pull the tent down towards her in the middle of the video?,"['take the book', 'try to take flag on top', 'carry the baby', 'pick up something on the floor', 'talking about it']",2,1
216,4273039295,how is the boy moving around?,"['hiking', 'walking', 'adult carry him', 'flying fox', 'skiing']",1,1
218,4626535366,why does the kid stands near the poster?,"['drawing on the poster', 'posing for a picture', 'adjusting height of the poster', 'talking about cleanliness to audience', 'scared the psoter will fall']",3,3
219,3345608051,where are the dogs fighting?,"['barren land', 'snow wild', 'living room', 'garden', 'grass patch']",0,0
220,6024684644,why did the man bend so low?,"['stabilise himself', 'adjust shoes', 'hiding from the dog', 'avoiding the sun', 'the hole is very deep']",2,4
221,3078294001,why does the man in white move away from the man in black in the middle?,"['take his shoes', 'starts walking while talking', 'get a drink', 'answer phone call', 'help the chef']",2,1
222,4762946272,what did the boy do after the woman poured the flour into the spoon?,"['take out candle', 'nodding and smiling', 'happy', 'pour flour', 'looking at her']",1,3
223,4087013668,where is this video taken?,"['bedroom', 'speech event', 'mountain', 'kitchen', 'playground']",0,3
224,11584566583,how did the woman in green adjusts her glasses at the middle?,"['push up using finger', 'take off and put on', 'held on to sides of ladder', 'nods her head', 'point her boards to make triangle']",0,0
225,4010069381,why does the man in brown look towards his back?,"['wait for the girl', 'check the screen', 'playing guitar', 'dancing together', 'talk to lady']",2,4
226,2573424030,why did the dog stand on 2 legs after seeing the man give a treat to the baby?,"['wanted food', 'wants to get pet', 'smile at camera', 'bigger dog didnt want it', 'man touches it']",2,0
227,8513603944,what does the child in blue helmet do after turning around?,"['the girls riding', 'continue walking', 'moves the object', 'reading something', 'eat it']",0,1
402,8225502382,how many times does the man in dark green attempt to go up the slope?,"['one', 'eight', 'five', 'three', 'twelve']",1,2
403,8224504302,how do the men speak into the microphone on stage?,"['show slides', 'hold microphone in hands', 'microphones on collar', 'take turns', 'sway his body']",2,3
404,4132599924,why did the eyes of the man hardly leaving the computer and the panel?,"['focus on adjusting the music', 'looking at script', 'dancing with her', 'shooting show', 'recording the people performing']",0,0
406,2552130183,what does the baby do after the lady lays it down on the ground near the end?,"['throws the pink toy', 'crawls', 'plays with the baby', 'roll onto her stomach', 'approach baby']",1,1
407,2679328607,why does the man in red place the children on his lap?,"['playing with them', 'colour with them', 'read them books', 'listening music together', 'pat them to sleep']",3,2
408,5056964274,why did the boy move hands closer to mouth?,"['to wipe his mouth', 'suck his thumb', 'spit out food', 'cover his mouth', 'to eat']",1,4
409,5116088152,why did the baby let go of the banana at the end?,"['to give the kids', 'feed monkey', 'does not hold well', 'girl snatch it away', 'someone asked him to do']",2,2
410,7088595057,what happened to the black sheep after it tried to get up from the floor?,"['sniff slippers', 'fell back', 'get up slightly', 'look at dog', 'plays with the brown dog']",1,1
411,7728559968,why do the kittens attempt to bite each other?,"['change playing position', 'ticklish', 'to win the other cat', 'play fighting', 'fight with dog']",3,2
412,5173770364,what does the adult do as the baby plays with the adult s leg?,"['comfortable', 'walk behind', 'playing toys', 'sitting', 'lie down']",3,4
413,3345608051,why is there a man walking near the fighting field in the middle of the video?,"['wants to join in the fight', 'want to jump into the pool', 'pushed by sumo wrestlers', 'chased by some dogs', 'capturing the moment']",3,4
414,3429509208,how did the boy move himself nearer to the camera?,"['crawl on floor', 'with baby walker', 'push the vacuum cleaner', 'legs', 'talk and touch']",1,2
416,5902452647,what does the girl do after the boy walks a few steps towards her in the middle?,"['put envelop on table', 'pass boy kite handle', 'walks backwards', 'walk to the sofa', 'kiss girl']",2,2
417,4603484665,how did the brown dog react after being ignored by the pair of dogs playing?,"['dig snow', 'jumps down', 'walk away', 'smile and wants to pet it', 'played along with him']",2,2
418,5658916668,how many people were filmed sliding down?,"['four', 'one', 'seven', 'two', 'six']",5,1
419,3477387686,how did the girl show affection to the dog at the end of the video?,"['make a sad face', 'kiss dog', 'caress its neck', 'turns it round and round', 'rubs the dog']",2,1
420,11244289523,what is the occasion in the video?,"['wedding', 'cosplay', 'birthday', 'colleagues', 'computer screen']",2,2
422,10042935613,why does the shirtless man walk in near the middle of the video?,"['to bring the food', 'explain something', 'gesturing', 'ice cream dropped on himself', 'to eat the food']",3,4
